speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
1473.0,Julia,CARSON,HOUSE,REPRESENTATIVE,D,IN,10.0,C000191,107.0
1665.0,Brad,CARSON,HOUSE,REPRESENTATIVE,D,OK,2.0,C001044,107.0
1889.0,Andre,CARSON,HOUSE,REPRESENTATIVE,D,IN,7.0,C001072,113.0
1752.0,John,CARTER,HOUSE,REPRESENTATIVE,R,TX,31.0,C001051,113.0
2159.0,Matt,CARTWRIGHT,HOUSE,REPRESENTATIVE,D,PA,17.0,C001090,113.0
1693.0,Ed,CASE,HOUSE,REPRESENTATIVE,D,HI,2.0,C001055,108.0
1828.0,Robert,CASEY,SENATE,SENATOR,D,PA,,C001070,113.0
1925.0,Bill,CASSIDY,HOUSE,REPRESENTATIVE,R,LA,6.0,C001075,113.0
183.0,Michael,CASTLE,HOUSE,REPRESENTATIVE,R,DE,0.0,C000243,107.0
1839.0,Kathy,CASTOR,HOUSE,REPRESENTATIVE,D,FL,13.0,C001066,113.0
2163.0,Joaquin,CASTRO,HOUSE,REPRESENTATIVE,D,TX,20.0,C001091,113.0
1891.0,Donald,CAZAYOUX,HOUSE,,D,LA,,C001073,110.0
186.0,Steve,CHABOT,HOUSE,REPRESENTATIVE,R,OH,1.0,C000266,113.0
1612.0,Lincoln,CHAFEE,SENATE,SENATOR,R,RI,,C001040,107.0
1303.0,John,CHAFEE,SENATE,SENATOR,R,RI,,C000269,105.0
,,CHAFFEE,,,,,,,
1956.0,Jason,CHAFFETZ,HOUSE,REPRESENTATIVE,R,UT,3.0,C001076,113.0
,,CHAIR,,,,,,,
,,CHAIRMAN,,,,,,,
,,CHAMBLIS,,,,,,,
188.0,Saxby,CHAMBLISS,SENATE,SENATOR,R,GA,,C000286,113.0
1759.0,Ben,CHANDLER,HOUSE,REPRESENTATIVE,D,KY,6.0,C001058,112.0
190.0,Jim,CHAPMAN,HOUSE,,D,TX,,C000312,103.0
2356.0,Liz,CHENEY,HOUSE,,R,WY,,C001109,115.0
,,CHENOWETH,,,,,,,
194.0,Helen,CHENOWETH-HAGE,HOUSE,REPRESENTATIVE,R,ID,1.0,C000345,106.0
2192.0,Jeff,CHIESA,SENATE,,R,NJ,,C001100,113.0
1893.0,Travis,CHILDERS,HOUSE,REPRESENTATIVE,D,MS,1.0,C001074,111.0
,,CHISTENSEN,,,,,,,
1726.0,Chris,CHOCOLA,HOUSE,REPRESENTATIVE,R,IN,2.0,C001052,108.0
196.0,Jon,CHRISTENSEN,HOUSE,REPRESENTATIVE,R,NE,2.0,C000377,105.0
,,CHRISTIANSEN,,,,,,,
197.0,Dick,CHRYSLER,HOUSE,,R,MI,,C000385,104.0
1970.0,Judy,CHU,HOUSE,REPRESENTATIVE,D,CA,27.0,C001080,113.0
,,CICCILINE,,,,,,,
2055.0,David,CICILLINE,HOUSE,REPRESENTATIVE,D,RI,1.0,C001084,113.0
,,CICILLLINE,,,,,,,
2196.0,Katherine,CLARK,HOUSE,REPRESENTATIVE,D,MA,5.0,C001101,113.0
1864.0,Yvette,CLARKE,HOUSE,REPRESENTATIVE,D,NY,9.0,C001067,113.0
2030.0,Hansen,CLARKE,HOUSE,REPRESENTATIVE,D,MI,13.0,C001085,112.0
2200.0,Curt,CLAWSON,HOUSE,REPRESENTATIVE,R,FL,19.0,C001102,114.0
203.0,William,CLAY,HOUSE,REPRESENTATIVE,D,MO,1.0,C000488,106.0
1654.0,Wm.,CLAY,HOUSE,REPRESENTATIVE,D,MO,1.0,C001049,113.0
,,CLAYBURN,,,,,,,
204.0,Eva,CLAYTON,HOUSE,REPRESENTATIVE,D,NC,1.0,C000494,107.0
1790.0,Emanuel,CLEAVER,HOUSE,,D,MO,,C001061,115.0
1540.0,Max,CLELAND,SENATE,SENATOR,D,GA,,C001034,107.0
205.0,Bob,CLEMENT,HOUSE,REPRESENTATIVE,D,TN,5.0,C000503,107.0
207.0,William,CLINGER,HOUSE,,R,PA,,C000523,103.0
1631.0,Hillary,CLINTON,SENATE,SENATOR,D,NY,,C001041,107.0
208.0,James,CLYBURN,HOUSE,REPRESENTATIVE,D,SC,6.0,C000537,113.0
209.0,Daniel,COATS,SENATE,SENATOR,R,IN,,C000542,113.0
211.0,Howard,COBLE,HOUSE,REPRESENTATIVE,R,NC,6.0,C000556,113.0
212.0,Tom,COBURN,SENATE,SENATOR,R,OK,,C000560,113.0
,,COCHARN,,,,,,,
213.0,Thad,COCHRAN,SENATE,SENATOR,R,MS,,C000567,113.0
1912.0,Mike,COFFMAN,HOUSE,REPRESENTATIVE,R,CO,6.0,C001077,113.0
1878.0,Steve,COHEN,HOUSE,,D,TN,,C001068,115.0
1742.0,Tom,COLE,HOUSE,REPRESENTATIVE,R,OK,4.0,C001053,113.0
1697.0,Norm,COLEMAN,SENATE,SENATOR,R,MN,,C001057,110.0
2151.0,Chris,COLLINS,HOUSE,REPRESENTATIVE,R,NY,27.0,C001092,113.0
