speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
1933,Gregg,HARPER,REPRESENTATIVE,R,MS,3,H001045,113
2026,Andy,HARRIS,REPRESENTATIVE,R,MD,1,H001052,113
1714,Katherine,HARRIS,REPRESENTATIVE,R,FL,13,H001035,108
1666,Melissa,HART,REPRESENTATIVE,R,PA,4,H001033,107
2032,Vicky,HARTZLER,REPRESENTATIVE,R,MO,4,H001053,113
510,J.,HASTERT,REPRESENTATIVE,R,IL,14,H000323,107
511,Alcee,HASTINGS,REPRESENTATIVE,D,FL,19,H000324,113
512,Doc,HASTINGS,REPRESENTATIVE,R,WA,4,H000329,113
1351,Orrin,HATCH,SENATOR,R,UT,,H000338,113
1600,Robin,HAYES,REPRESENTATIVE,R,NC,8,H001029,107
2042,Nan,HAYWORTH,REPRESENTATIVE,R,NY,19,H001054,112
520,J.,HAYWORTH,REPRESENTATIVE,R,AZ,6,H000413,107
2170,Denny,HECK,REPRESENTATIVE,D,WA,10,H001064,113
2040,Joseph,HECK,REPRESENTATIVE,R,NV,3,H001055,113
524,Joel,HEFLEY,REPRESENTATIVE,R,CO,5,H000444,107
525,W.,HEFNER,REPRESENTATIVE,D,NC,8,H000448,105
1937,Martin,HEINRICH,SENATOR,D,NM,,H001046,113
2174,Heidi,HEITKAMP,SENATOR,D,ND,,H001069,113
1863,Dean,HELLER,SENATOR,R,NV,,H001041,113
1359,Jesse,HELMS,SENATOR,R,NC,,H000463,107
1749,Jeb,HENSARLING,REPRESENTATIVE,R,TX,5,H001036,113
533,Wally,HERGER,REPRESENTATIVE,R,CA,2,H000528,107
2071,Jaime,HERRERA BEUTLER,REPRESENTATIVE,R,WA,3,H001056,113
1760,Stephanie,HERSETH SANDLIN,REPRESENTATIVE,D,SD,0,H001037,110
2237,Jody,HICE,REPRESENTATIVE,R,GA,10,H001071,114
1794,Brian,HIGGINS,REPRESENTATIVE,D,NY,26,H001038,113
1489,Rick,HILL,REPRESENTATIVE,R,MT,0,H000605,106
2223,J.,HILL,REPRESENTATIVE,R,AR,2,H001072,114
1578,Baron,HILL,REPRESENTATIVE,D,IN,9,H001030,107
538,Van,HILLEARY,REPRESENTATIVE,R,TN,4,H000615,107
539,Earl,HILLIARD,REPRESENTATIVE,D,AL,7,H000621,107
1913,James,HIMES,REPRESENTATIVE,D,CT,4,H001047,113
541,Maurice,HINCHEY,REPRESENTATIVE,D,NY,26,H000627,107
1490,Ruben,HINOJOSA,REPRESENTATIVE,D,TX,15,H000636,113
1844,Mazie,HIRONO,SENATOR,D,HI,,H001042,113
545,David,HOBSON,REPRESENTATIVE,R,OH,7,H000666,107
2088,Kathleen,HOCHUL,REPRESENTATIVE,D,NY,26,H001062,112
1862,Paul,HODES,REPRESENTATIVE,D,NH,2,H001043,110
1579,Joseph,HOEFFEL,REPRESENTATIVE,D,PA,13,H001031,107
547,Peter,HOEKSTRA,REPRESENTATIVE,R,MI,2,H000676,107
2079,John,HOEVEN,SENATOR,R,ND,,H001061,113
550,Tim,HOLDEN,REPRESENTATIVE,D,PA,6,H000712,107
2143,George,HOLDING,REPRESENTATIVE,R,NC,12,H001065,113
1361,Ernest,HOLLINGS,SENATOR,D,SC,,H000725,107
1580,Rush,HOLT,REPRESENTATIVE,D,NJ,12,H001032,113
1634,Michael,HONDA,REPRESENTATIVE,D,CA,17,H001034,113
1491,Darlene,HOOLEY,REPRESENTATIVE,D,OR,5,H000762,107
559,Stephen,HORN,REPRESENTATIVE,R,CA,38,H000789,107
2147,Steven,HORSFORD,REPRESENTATIVE,D,NV,4,H001066,113
562,John,HOSTETTLER,REPRESENTATIVE,R,IN,8,H000807,107
563,Amo,HOUGHTON,REPRESENTATIVE,R,NY,31,H000814,106
566,Steny,HOYER,REPRESENTATIVE,D,MD,5,H000874,113
2140,Richard,HUDSON,REPRESENTATIVE,R,NC,8,H001067,113
2020,Tim,HUELSKAMP,REPRESENTATIVE,R,KS,1,H001057,113
2101,Jared,HUFFMAN,REPRESENTATIVE,D,CA,2,H001068,113
2028,Bill,HUIZENGA,REPRESENTATIVE,R,MI,2,H001058,113
1492,Kenny,HULSHOF,REPRESENTATIVE,R,MO,9,H000948,107
2015,Randy,HULTGREN,REPRESENTATIVE,R,IL,14,H001059,113
1909,Duncan,HUNTER,REPRESENTATIVE,R,CA,50,H001048,113
575,Duncan,HUNTER,REPRESENTATIVE,R,CA,52,H000981,107
2269,Will,HURD,REPRESENTATIVE,R,TX,23,H001073,114
2069,Robert,HURT,REPRESENTATIVE,R,VA,5,H001060,113
1493,Asa,HUTCHINSON,REPRESENTATIVE,R,AR,3,H001014,106
578,Tim,HUTCHINSON,SENATOR,R,AR,,H001015,107
1368,Kay,HUTCHISON,SENATOR,R,TX,,H001016,107
580,Henry,HYDE,REPRESENTATIVE,R,IL,6,H001022,107
582,Bob,INGLIS,REPRESENTATIVE,R,SC,4,I000023,110
583,James,INHOFE,SENATOR,R,OK,,I000024,113
1369,Daniel,INOUYE,SENATOR,D,HI,,I000025,107
584,Jay,INSLEE,REPRESENTATIVE,D,WA,1,I000026,107
1608,Johnny,ISAKSON,SENATOR,R,GA,,I000055,113
1663,Steve,ISRAEL,REPRESENTATIVE,D,NY,3,I000057,113
