speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
222,Mac,Collins,REPRESENTATIVE,R,GA,3,C000640,107
2151,Chris,Collins,REPRESENTATIVE,R,NY,27,C001092,113
1541,Susan,Collins,SENATOR,R,ME,,C001035,113
2121,Doug,Collins,REPRESENTATIVE,R,GA,9,C001093,113
224,Larry,Combest,REPRESENTATIVE,R,TX,19,C000653,107
2273,Barbara,Comstock,REPRESENTATIVE,R,VA,10,C001105,114
1805,K.,Conaway,REPRESENTATIVE,R,TX,11,C001062,113
226,Gary,Condit,REPRESENTATIVE,D,CA,18,C000670,107
1959,Gerald,Connolly,REPRESENTATIVE,D,VA,11,C001078,113
1307,Kent,Conrad,SENATOR,D,ND,,C000705,107
229,John,Conyers,REPRESENTATIVE,D,MI,13,C000714,113
2103,Paul,Cook,REPRESENTATIVE,R,CA,8,C001094,113
1475,Merrill,Cook,REPRESENTATIVE,R,UT,2,C000722,106
1476,John,Cooksey,REPRESENTATIVE,R,LA,5,C000735,107
1984,Christopher,Coons,SENATOR,D,DE,,C001088,113
231,Jim,Cooper,REPRESENTATIVE,D,TN,5,C000754,113
1825,Bob,Corker,SENATOR,R,TN,,C001071,113
1692,John,Cornyn,SENATOR,R,TX,,C001056,113
1630,Jon,Corzine,SENATOR,D,NJ,,C001042,107
1774,Jim,Costa,REPRESENTATIVE,D,CA,16,C001059,113
2266,Ryan,Costello,REPRESENTATIVE,R,PA,6,C001106,114
238,Jerry,Costello,REPRESENTATIVE,D,IL,12,C000794,107
2098,Tom,Cotton,REPRESENTATIVE,R,AR,4,C001095,113
1836,Joe,Courtney,REPRESENTATIVE,D,CT,2,C001069,113
242,Christopher,Cox,REPRESENTATIVE,R,CA,47,C000830,107
245,William,Coyne,REPRESENTATIVE,D,PA,14,C000846,107
246,Larry,Craig,SENATOR,R,ID,,C000858,107
2144,Kevin,Cramer,REPRESENTATIVE,R,ND,0,C001096,113
247,Robert,Cramer,REPRESENTATIVE,D,AL,5,C000868,107
249,Philip,Crane,REPRESENTATIVE,R,IL,8,C000873,107
250,Mike,Crapo,SENATOR,R,ID,,C000880,113
2031,Chip,Cravaack,REPRESENTATIVE,R,MN,8,C001086,112
1989,Eric,Crawford,REPRESENTATIVE,R,AR,1,C001087,113
1643,Ander,Crenshaw,REPRESENTATIVE,R,FL,4,C001045,113
1977,Mark,Critz,REPRESENTATIVE,D,PA,12,C001081,112
1604,Joseph,Crowley,REPRESENTATIVE,D,NY,14,C001038,113
2175,Ted,Cruz,SENATOR,R,TX,,C001098,113
254,Barbara,Cubin,REPRESENTATIVE,R,WY,0,C000962,107
1807,Henry,Cuellar,REPRESENTATIVE,D,TX,28,C001063,113
1670,John,Culberson,REPRESENTATIVE,R,TX,7,C001048,113
256,Elijah,Cummings,REPRESENTATIVE,D,MD,7,C000984,113
258,Randy,Cunningham,REPRESENTATIVE,R,CA,51,C000994,107
2235,Carlos,Curbelo,REPRESENTATIVE,R,FL,26,C001107,114
1313,Alfonse,D'Amato,SENATOR,R,NY,,D000018,105
1951,Kathleen,Dahlkemper,REPRESENTATIVE,D,PA,3,D000608,111
2138,Steve,Daines,REPRESENTATIVE,R,MT,0,D000618,113
265,Pat,Danner,REPRESENTATIVE,D,MO,6,D000046,106
267,Thomas,Daschle,SENATOR,D,SD,,D000064,107
1641,Susan,Davis,REPRESENTATIVE,D,CA,53,D000598,113
1672,Jo,Davis,REPRESENTATIVE,R,VA,1,D000597,107
1705,Artur,Davis,REPRESENTATIVE,D,AL,7,D000602,110
2126,Rodney,Davis,REPRESENTATIVE,R,IL,13,D000619,113
274,Tom,Davis,REPRESENTATIVE,R,VA,11,D000136,107
1784,Geoff,Davis,REPRESENTATIVE,R,KY,4,D000603,112
1747,Lincoln,Davis,REPRESENTATIVE,D,TN,4,D000599,110
1877,David,Davis,REPRESENTATIVE,R,TN,1,D000606,110
1477,Danny,Davis,REPRESENTATIVE,D,IL,7,D000096,113
1478,Jim,Davis,REPRESENTATIVE,D,FL,11,D000114,107
1629,Mark,Dayton,SENATOR,D,MN,,D000596,107
279,Peter,DeFazio,REPRESENTATIVE,D,OR,4,D000191,113
1479,Diana,DeGette,REPRESENTATIVE,D,CO,1,D000197,113
281,Rosa,DeLauro,REPRESENTATIVE,D,CT,3,D000216,113
282,Tom,DeLay,REPRESENTATIVE,R,TX,22,D000217,107
1605,Jim,DeMint,REPRESENTATIVE,R,SC,4,D000595,107
2116,Ron,DeSantis,REPRESENTATIVE,R,FL,6,D000621,113
2227,Mark,DeSaulnier,REPRESENTATIVE,D,CA,11,D000623,114
293,Mike,DeWine,SENATOR,R,OH,,D000294,107
277,Nathan,Deal,REPRESENTATIVE,R,GA,9,D000168,107
2096,Suzan,DelBene,REPRESENTATIVE,D,WA,1,D000617,113
1480,Bill,Delahunt,REPRESENTATIVE,D,MA,10,D000210,107
2133,John,Delaney,REPRESENTATIVE,D,MD,6,D000620,113
284,Ronald,Dellums,REPRESENTATIVE,D,CA,9,D000222,105
1995,Jeff,Denham,REPRESENTATIVE,R,CA,10,D000612,113
1799,Charles,Dent,REPRESENTATIVE,R,PA,15,D000604,113
2062,Scott,DesJarlais,REPRESENTATIVE,R,TN,4,D000616,113
1976,Theodore,Deutch,REPRESENTATIVE,D,FL,21,D000610,113
291,Peter,Deutsch,REPRESENTATIVE,D,FL,20,D000275,107
1717,Mario,Diaz-Balart,REPRESENTATIVE,R,FL,25,D000600,113
294,Lincoln,Diaz-Balart,REPRESENTATIVE,R,FL,21,D000299,107
295,Jay,Dickey,REPRESENTATIVE,R,AR,4,D000312,106
297,Norman,Dicks,REPRESENTATIVE,D,WA,6,D000327,107
