mods_file,congress_id,context,bill_number,bill_type
CREC-2017-01-12-pt1-PgH404-6.xml,115,HEADERLINE,238,HR
CREC-2017-01-12-pt1-PgH404-6.xml,115,OTHER,238,HR
CREC-2017-01-12-pt1-PgH404-6.xml,115,OTHER,4413,HR
CREC-2017-01-12-pt1-PgH404-6.xml,115,OTHER,2289,HR
CREC-2017-01-12-pt1-PgH428.xml,115,OTHER,40,HRES
CREC-2017-01-12-pt1-PgH428.xml,115,HEADERLINE,78,HR
CREC-2017-01-12-pt1-PgH428.xml,115,OTHER,78,HR
CREC-2017-01-12-pt1-PgH441-2.xml,115,OTHER,78,HR
CREC-2017-01-12-pt1-PgH441-2.xml,115,OTHER,40,HRES
CREC-2017-01-12-pt1-PgH448.xml,115,OTHER,238,HR
CREC-2017-01-12-pt1-PgH448.xml,115,FIRSTPARAGRAPH,238,HR
CREC-2017-01-12-pt1-PgH448.xml,115,OTHER,78,HR
CREC-2017-01-12-pt1-PgH448.xml,115,OTHER,40,HRES
CREC-2017-01-12-pt1-PgH448.xml,115,FIRSTPARAGRAPH,40,HRES
CREC-2017-01-12-pt1-PgS299-2.xml,115,OTHER,84,S
CREC-2017-01-12-pt1-PgS299-2.xml,115,HEADERLINE,84,S
CREC-2017-01-12-pt1-PgS299-2.xml,115,OTHER,72,HR
CREC-2017-01-12-pt1-PgS299-2.xml,115,HEADERLINE,72,HR
CREC-2017-01-12-pt1-PgS315.xml,115,OTHER,119,S
CREC-2017-01-12-pt1-PgS315.xml,115,HEADERLINE,134,S
CREC-2017-01-12-pt1-PgS315.xml,115,OTHER,126,S
CREC-2017-01-12-pt1-PgS315.xml,115,HEADERLINE,126,S
CREC-2017-01-12-pt1-PgS315.xml,115,OTHER,117,S
CREC-2017-01-12-pt1-PgS315.xml,115,HEADERLINE,117,S
CREC-2017-01-12-pt1-PgS315.xml,115,OTHER,134,S
CREC-2017-01-12-pt1-PgS315.xml,115,FIRSTPARAGRAPH,117,S
CREC-2017-01-13-pt1-PgH477-2.xml,115,OTHER,84,S
CREC-2017-01-13-pt1-PgH477-2.xml,115,OTHER,48,HRES
CREC-2017-01-13-pt1-PgH477-2.xml,115,OTHER,3,SCONRES
CREC-2017-01-13-pt1-PgH477-2.xml,115,TITLE,3,SCONRES
CREC-2017-01-13-pt1-PgH477-2.xml,115,OTHER,3,S
CREC-2017-01-13-pt1-PgH477-2.xml,115,FIRSTPARAGRAPH,48,HRES
CREC-2017-01-13-pt1-PgH477-2.xml,115,HEADERLINE,48,HRES
CREC-2017-01-13-pt1-PgH477-2.xml,115,OTHER,4872,HR
CREC-2017-01-13-pt1-PgH490.xml,115,OTHER,48,HRES
CREC-2017-01-13-pt1-PgH490.xml,115,HEADERLINE,3,SCONRES
CREC-2017-01-13-pt1-PgH490.xml,115,OTHER,11,SCONRES
CREC-2017-01-13-pt1-PgH490.xml,114,OTHER,11,SCONRES
CREC-2017-01-13-pt1-PgH490.xml,115,OTHER,3,SCONRES
CREC-2017-01-13-pt1-PgH490.xml,111,OTHER,13,SCONRES
CREC-2017-01-13-pt1-PgH520.xml,115,OTHER,84,S
CREC-2017-01-13-pt1-PgH520.xml,115,FIRSTPARAGRAPH,48,HRES
CREC-2017-01-13-pt1-PgH520.xml,115,OTHER,48,HRES
CREC-2017-01-13-pt1-PgH520.xml,115,HEADERLINE,84,S
CREC-2017-01-13-pt1-PgH520.xml,115,FIRSTPARAGRAPH,84,S
CREC-2017-01-13-pt1-PgH520.xml,115,OTHER,393,HR
CREC-2017-01-13-pt1-PgH533.xml,115,OTHER,52,HRES
CREC-2017-01-13-pt1-PgH533.xml,115,HEADERLINE,52,HRES
CREC-2017-01-17-pt1-PgS331.xml,115,OTHER,175,S
CREC-2017-01-17-pt1-PgS331.xml,115,FIRSTPARAGRAPH,175,S
CREC-2017-01-17-pt1-PgS333-2.xml,115,FIRSTPARAGRAPH,72,HR
CREC-2017-01-17-pt1-PgS333-2.xml,115,OTHER,72,HR
CREC-2017-01-17-pt1-PgS340.xml,115,OTHER,21,SCONRES
CREC-2017-01-17-pt1-PgS340.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-17-pt1-PgS340.xml,115,OTHER,3,SCONRES
CREC-2017-01-17-pt1-PgS340.xml,115,FIRSTPARAGRAPH,21,SCONRES
CREC-2017-01-17-pt1-PgS343-2.xml,115,FIRSTPARAGRAPH,175,S
CREC-2017-01-17-pt1-PgS343-2.xml,115,OTHER,176,S
CREC-2017-01-17-pt1-PgS343-2.xml,115,HEADERLINE,176,S
CREC-2017-01-17-pt1-PgS343-2.xml,115,OTHER,175,S
CREC-2017-01-20-pt1-PgS361-3.xml,115,OTHER,178,S
CREC-2017-01-20-pt1-PgS361-3.xml,115,FIRSTPARAGRAPH,178,S
CREC-2017-01-20-pt1-PgS365-2.xml,115,OTHER,17,SRES
CREC-2017-01-20-pt1-PgS365-2.xml,115,FIRSTPARAGRAPH,17,SRES
CREC-2017-01-23-pt1-PgH566-8.xml,115,FIRSTPARAGRAPH,511,HR
CREC-2017-01-23-pt1-PgH566-8.xml,115,OTHER,511,HR
CREC-2017-01-23-pt1-PgH566-8.xml,115,OTHER,518,HR
CREC-2017-01-23-pt1-PgH566-8.xml,115,HEADERLINE,511,HR
CREC-2017-01-23-pt1-PgH568.xml,115,HEADERLINE,587,HR
CREC-2017-01-23-pt1-PgH568.xml,115,FIRSTPARAGRAPH,587,HR
CREC-2017-01-23-pt1-PgH568.xml,115,OTHER,587,HR
CREC-2017-01-23-pt1-PgH569.xml,115,HEADERLINE,590,HR
CREC-2017-01-23-pt1-PgH569.xml,115,OTHER,590,HR
CREC-2017-01-23-pt1-PgH569.xml,115,FIRSTPARAGRAPH,590,HR
CREC-2017-01-23-pt1-PgH571.xml,115,OTHER,518,HR
CREC-2017-01-23-pt1-PgH571.xml,115,FIRSTPARAGRAPH,518,HR
CREC-2017-01-23-pt1-PgH571.xml,115,HEADERLINE,518,HR
CREC-2017-01-23-pt1-PgH572.xml,115,HEADERLINE,290,HR
CREC-2017-01-23-pt1-PgH572.xml,115,FIRSTPARAGRAPH,290,HR
CREC-2017-01-23-pt1-PgH572.xml,115,OTHER,290,HR
CREC-2017-01-23-pt1-PgH576.xml,115,OTHER,253,S
CREC-2017-01-23-pt1-PgH576.xml,115,HEADERLINE,423,HR
CREC-2017-01-23-pt1-PgH576.xml,115,FIRSTPARAGRAPH,423,HR
CREC-2017-01-23-pt1-PgH576.xml,115,OTHER,423,HR
